pearson_r_cam_vs_cold,high_cam_px,iou_vs_coldest,iou_expected_by_chance,cam_peak_row,cam_peak_col,coldest_row,coldest_col,peak_to_coldest_dist_px,storm_id,storm_name,timestamp,wind_kt,is_interpolated
0.22319027957081433,15890,0.34291147263891825,0.188131940991215,173,176,19,200,155.8589105569521,AL092022,IAN,2022-09-29T12:00:00+00:00,60.0,False
0.31736824709564365,18789,0.4044700254148602,0.23036180621114966,173,174,46,145,130.26895255585654,AL092022,IAN,2022-09-29T13:00:00+00:00,60.833333333333336,True
0.43535933071138205,17773,0.4521018015441807,0.21522420954479954,0,90,51,182,105.19030373565806,AL092022,IAN,2022-09-29T14:00:00+00:00,61.66666666666666,True
0.42464091394783476,23948,0.49390224883815226,0.31343908695879796,0,110,40,180,80.62257748298549,AL092022,IAN,2022-09-29T15:00:00+00:00,62.5,True
0.3758052194503303,26049,0.5099118942731278,0.3505780385717939,0,81,25,180,102.1077861869505,AL092022,IAN,2022-09-29T16:00:00+00:00,63.333333333333336,True
0.4410203064984005,7507,0.20160064025610244,0.08085518875545264,0,223,89,128,130.17680284904833,AL172022,NICOLE,2022-11-06T12:00:00+00:00,30.0,False
0.46954699771748976,12457,0.37078404401650616,0.1417259229762785,0,176,97,129,107.78682665335315,AL172022,NICOLE,2022-11-06T13:00:00+00:00,30.83333333333333,True
0.33776358056922945,12662,0.3015367220023642,0.14439502793933173,0,223,98,142,127.1416532848303,AL172022,NICOLE,2022-11-06T14:00:00+00:00,31.666666666666668,True
0.42439008526169036,19230,0.39166304819800263,0.23705036858065628,0,123,90,142,91.98369420718001,AL172022,NICOLE,2022-11-06T15:00:00+00:00,32.5,True
0.39239061965474586,18841,0.351045140009322,0.23114671639410633,48,223,48,164,59.0,AL172022,NICOLE,2022-11-06T16:00:00+00:00,33.333333333333336,True
0.4170194643769829,19444,0.3939850163099975,0.2403223414248282,45,177,56,160,20.248456731316587,AL172022,NICOLE,2022-11-06T17:00:00+00:00,34.166666666666664,True
0.41677739316556284,17746,0.40151634812825776,0.21482701014454156,173,179,51,146,126.38433447227548,AL172022,NICOLE,2022-11-06T18:00:00+00:00,35.0,False
0.39577561755394824,14306,0.3345149253731343,0.16625990749134184,176,175,84,164,92.65527507918802,AL172022,NICOLE,2022-11-06T19:00:00+00:00,35.0,True
0.5859638388406311,19689,0.515412738118145,0.2440896073788478,49,176,94,178,45.044422518220834,AL172022,NICOLE,2022-11-06T20:00:00+00:00,35.0,True
0.5688119008115872,20103,0.5192140563007747,0.250507794489651,48,175,70,175,22.0,AL172022,NICOLE,2022-11-06T21:00:00+00:00,35.0,True
0.5458517164941576,19301,0.5267362759057111,0.23813401438600387,49,173,50,172,1.4142135623730951,AL172022,NICOLE,2022-11-06T22:00:00+00:00,35.0,True
0.5853583470004188,18800,0.4851094083260921,0.23052776142829115,48,173,54,192,19.924858845171276,AL172022,NICOLE,2022-11-06T23:00:00+00:00,35.0,True
0.5933136223617106,15567,0.4494413407821229,0.18360559061154685,0,142,59,198,81.34494452638098,AL172022,NICOLE,2022-11-07T00:00:00+00:00,35.0,False
0.5428229625694713,10371,0.40205488711639853,0.11525766550716264,45,172,39,202,30.59411708155671,AL172022,NICOLE,2022-11-07T01:00:00+00:00,35.833333333333336,True
0.5325536631041148,13095,0.3727134545835736,0.15007391957092267,0,139,54,213,91.60785992479029,AL172022,NICOLE,2022-11-07T02:00:00+00:00,36.66666666666666,True
0.4552925473475724,12289,0.3136290753607696,0.1395478237171116,46,223,34,218,13.0,AL172022,NICOLE,2022-11-07T03:00:00+00:00,37.5,True
