pearson_r_cam_vs_cold,high_cam_px,iou_vs_coldest,iou_expected_by_chance,cam_peak_row,cam_peak_col,coldest_row,coldest_col,peak_to_coldest_dist_px,storm_id,storm_name,timestamp,wind_kt,is_interpolated,wind_now,wind_24h_ago,delta24_kt,is_RI
0.3580212027125467,22208,0.2611016467915957,0.2841932841932841,172,173,100,115,92.45539465060976,AL022024,BERYL,2024-07-03 15:00:00+00:00,122.5,True,122.5,137.5,-15.0,False
0.2534311717506173,26518,0.3695899183968598,0.3591570279275131,117,178,99,116,64.5600495662759,AL022024,BERYL,2024-07-03 16:00:00+00:00,121.66666666666669,True,121.66666666666669,136.66666666666666,-14.999999999999972,False
-0.0389408656543213,18787,0.1085410827555686,0.2303316373444492,170,172,96,116,92.80086206496144,AL022024,BERYL,2024-07-03 17:00:00+00:00,120.83333333333331,True,120.83333333333331,135.83333333333334,-15.000000000000028,False
-0.0344444465709396,24273,0.25160491917395,0.3190499349360533,49,46,122,112,98.41239759298622,AL022024,BERYL,2024-07-03 18:00:00+00:00,120.0,False,120.0,135.0,-15.0,False
0.6049046644650256,36720,0.7806658099556288,0.5770681418154389,174,163,99,101,97.30878685915263,AL022024,BERYL,2024-07-03 19:00:00+00:00,119.16666666666669,True,119.16666666666669,134.16666666666666,-14.999999999999972,False
0.6627876529137243,38878,0.8366402116402116,0.6324299703939877,171,168,94,115,93.47726996441436,AL022024,BERYL,2024-07-03 20:00:00+00:00,118.33333333333331,True,118.33333333333331,133.33333333333334,-15.000000000000028,False
0.6704089690675614,28200,0.6512472186438693,0.3908415567136046,113,114,96,110,17.46424919657298,AL022024,BERYL,2024-07-03 21:00:00+00:00,117.5,True,117.5,132.5,-15.0,False
0.2957011942522386,16347,0.1371826086956522,0.1945955597881078,173,173,94,110,101.04454463255304,AL022024,BERYL,2024-07-03 22:00:00+00:00,116.66666666666669,True,116.66666666666669,131.66666666666666,-14.999999999999972,False
0.3939788816708244,24641,0.4058078502966682,0.3254612936033073,171,173,93,108,101.53324578678652,AL022024,BERYL,2024-07-03 23:00:00+00:00,115.83333333333331,True,115.83333333333331,130.83333333333334,-15.000000000000028,False
0.1486748210585387,22361,0.2914236211377418,0.2867125693990333,171,171,109,200,68.4470598345904,AL022024,BERYL,2024-07-04 00:00:00+00:00,115.0,False,115.0,130.0,-15.0,False
0.2236247623028241,21745,0.3320469233360899,0.2766293078224585,171,170,99,118,88.81441324469807,AL022024,BERYL,2024-07-04 01:00:00+00:00,113.33333333333331,True,113.33333333333331,129.16666666666666,-15.833333333333343,False
0.1970075870380794,23444,0.3806831566548881,0.3048317470224164,173,175,96,107,102.7277956543408,AL022024,BERYL,2024-07-04 02:00:00+00:00,111.66666666666669,True,111.66666666666669,128.33333333333334,-16.666666666666657,False
0.1200931859522603,27489,0.4043629304179013,0.3772696704774714,176,145,108,97,83.23460818673925,AL022024,BERYL,2024-07-04 03:00:00+00:00,110.0,True,110.0,127.5,-17.5,False
0.3741313744722145,36858,0.7315199774504968,0.5804957948782561,172,151,104,104,82.66196223173026,AL022024,BERYL,2024-07-04 04:00:00+00:00,108.33333333333331,True,108.33333333333331,126.66666666666669,-18.33333333333337,False
0.2372708451921028,24154,0.3786529680365297,0.3169899472427098,0,145,103,112,108.15729286552988,AL022024,BERYL,2024-07-04 05:00:00+00:00,106.66666666666669,True,106.66666666666669,125.83333333333331,-19.16666666666663,False
0.3833226393217957,35888,0.6984784306301616,0.5567138247704144,174,147,107,107,78.03204469959762,AL022024,BERYL,2024-07-04 06:00:00+00:00,105.0,False,105.0,125.0,-20.0,False
0.3342937169435566,27156,0.526089522043328,0.3710038799934422,175,146,107,111,76.47875521999558,AL022024,BERYL,2024-07-04 07:00:00+00:00,103.33333333333331,True,103.33333333333331,125.0,-21.666666666666686,False
0.1092635928046721,26680,0.4623585190057278,0.3621457270061896,0,144,110,112,114.56002793295748,AL022024,BERYL,2024-07-04 08:00:00+00:00,101.66666666666669,True,101.66666666666669,125.0,-23.333333333333314,False
0.1759253239572137,22346,0.4604751478709846,0.2864651437068943,170,172,97,123,87.92041856133307,AL022024,BERYL,2024-07-04 09:00:00+00:00,100.0,True,100.0,125.0,-25.0,False
